run_id,arm,task_id,labels
ONETEP__SHh1xr_l__DOCS__0,DOCS,ONETEP__SHh1xr_l,wrong_parser;silent_empty;gave_up
ONETEP__SHh1xr_l__FULL__0,FULL,ONETEP__SHh1xr_l,wrong_parser;silent_empty;gave_up
ONETEP__SHh1xr_l__NONE__0,NONE,ONETEP__SHh1xr_l,gave_up
ONETEP__obU5oKqj__BARE__0,BARE,ONETEP__obU5oKqj,unit_error;gave_up
ONETEP__obU5oKqj__COMPLEXITY__0,COMPLEXITY,ONETEP__obU5oKqj,
ONETEP__obU5oKqj__DOCS__0,DOCS,ONETEP__obU5oKqj,wrong_parser;unit_error;gave_up
ONETEP__obU5oKqj__FULL__0,FULL,ONETEP__obU5oKqj,wrong_parser
ONETEP__obU5oKqj__NONE__0,NONE,ONETEP__obU5oKqj,unit_error;gave_up
ORCA__wlvahU0y__BARE__0,BARE,ORCA__wlvahU0y,
ORCA__wlvahU0y__COMPLEXITY__0,COMPLEXITY,ORCA__wlvahU0y,
ORCA__wlvahU0y__DOCS__0,DOCS,ORCA__wlvahU0y,
ORCA__wlvahU0y__FULL__0,FULL,ORCA__wlvahU0y,
ORCA__wlvahU0y__NONE__0,NONE,ORCA__wlvahU0y,parser_from_scratch
ORCA__ytbyrwLI__BARE__0,BARE,ORCA__ytbyrwLI,
ORCA__ytbyrwLI__COMPLEXITY__0,COMPLEXITY,ORCA__ytbyrwLI,
ORCA__ytbyrwLI__DOCS__0,DOCS,ORCA__ytbyrwLI,
ORCA__ytbyrwLI__FULL__0,FULL,ORCA__ytbyrwLI,
ORCA__ytbyrwLI__NONE__0,NONE,ORCA__ytbyrwLI,parser_from_scratch
ORCA__zOnVuVC5__BARE__0,BARE,ORCA__zOnVuVC5,
ORCA__zOnVuVC5__COMPLEXITY__0,COMPLEXITY,ORCA__zOnVuVC5,
ORCA__zOnVuVC5__DOCS__0,DOCS,ORCA__zOnVuVC5,
ORCA__zOnVuVC5__FULL__0,FULL,ORCA__zOnVuVC5,
ORCA__zOnVuVC5__NONE__0,NONE,ORCA__zOnVuVC5,parser_from_scratch
Octopus__KOz5MBCB__BARE__0,BARE,Octopus__KOz5MBCB,wrong_parser;silent_empty;gave_up
Octopus__KOz5MBCB__COMPLEXITY__0,COMPLEXITY,Octopus__KOz5MBCB,gave_up
Octopus__KOz5MBCB__DOCS__0,DOCS,Octopus__KOz5MBCB,wrong_parser;silent_empty;gave_up
Octopus__KOz5MBCB__FULL__0,FULL,Octopus__KOz5MBCB,wrong_parser;silent_empty;gave_up
